ID,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
1,V_15-1,V_16-1,V_17-1,V_18-1,V_19-1,V_20-1,V_21-1,V_22-1,V_23-1,V_24-1,V_25-1,V_26-1,V_27-1,V_28-1,V_29-1,V_30-1
2,V_15-2,V_16-2,V_17-2,V_18-2,V_19-2,V_20-2,V_21-2,V_22-2,V_23-2,V_24-2,V_25-2,V_26-2,V_27-2,V_28-2,V_29-2,V_30-2
3,V_15-3,V_16-3,V_17-3,V_18-3,V_19-3,V_20-3,V_21-3,V_22-3,V_23-3,V_24-3,V_25-3,V_26-3,V_27-3,V_28-3,V_29-3,V_30-3
4,V_15-4,V_16-4,V_17-4,V_18-4,V_19-4,V_20-4,V_21-4,V_22-4,V_23-4,V_24-4,V_25-4,V_26-4,V_27-4,V_28-4,V_29-4,V_30-4
5,V_15-5,V_16-5,V_17-5,V_18-5,V_19-5,V_20-5,V_21-5,V_22-5,V_23-5,V_24-5,V_25-5,V_26-5,V_27-5,V_28-5,V_29-5,V_30-5
6,V_15-6,V_16-6,V_17-6,V_18-6,V_19-6,V_20-6,V_21-6,V_22-6,V_23-6,V_24-6,V_25-6,V_26-6,V_27-6,V_28-6,V_29-6,V_30-6
7,V_15-7,V_16-7,V_17-7,V_18-7,V_19-7,V_20-7,V_21-7,V_22-7,V_23-7,V_24-7,V_25-7,V_26-7,V_27-7,V_28-7,V_29-7,V_30-7
8,V_15-8,V_16-8,V_17-8,V_18-8,V_19-8,V_20-8,V_21-8,V_22-8,V_23-8,V_24-8,V_25-8,V_26-8,V_27-8,V_28-8,V_29-8,V_30-8
9,V_15-9,V_16-9,V_17-9,V_18-9,V_19-9,V_20-9,V_21-9,V_22-9,V_23-9,V_24-9,V_25-9,V_26-9,V_27-9,V_28-9,V_29-9,V_30-9
10,V_15-10,V_16-10,V_17-10,V_18-10,V_19-10,V_20-10,V_21-10,V_22-10,V_23-10,V_24-10,V_25-10,V_26-10,V_27-10,V_28-10,V_29-10,V_30-10
11,V_15-11,V_16-11,V_17-11,V_18-11,V_19-11,V_20-11,V_21-11,V_22-11,V_23-11,V_24-11,V_25-11,V_26-11,V_27-11,V_28-11,V_29-11,V_30-11
12,V_15-12,V_16-12,V_17-12,V_18-12,V_19-12,V_20-12,V_21-12,V_22-12,V_23-12,V_24-12,V_25-12,V_26-12,V_27-12,V_28-12,V_29-12,V_30-12
13,V_15-13,V_16-13,V_17-13,V_18-13,V_19-13,V_20-13,V_21-13,V_22-13,V_23-13,V_24-13,V_25-13,V_26-13,V_27-13,V_28-13,V_29-13,V_30-13
14,V_15-14,V_16-14,V_17-14,V_18-14,V_19-14,V_20-14,V_21-14,V_22-14,V_23-14,V_24-14,V_25-14,V_26-14,V_27-14,V_28-14,V_29-14,V_30-14
15,V_15-15,V_16-15,V_17-15,V_18-15,V_19-15,V_20-15,V_21-15,V_22-15,V_23-15,V_24-15,V_25-15,V_26-15,V_27-15,V_28-15,V_29-15,V_30-15
16,V_15-16,V_16-16,V_17-16,V_18-16,V_19-16,V_20-16,V_21-16,V_22-16,V_23-16,V_24-16,V_25-16,V_26-16,V_27-16,V_28-16,V_29-16,V_30-16
17,V_15-17,V_16-17,V_17-17,V_18-17,V_19-17,V_20-17,V_21-17,V_22-17,V_23-17,V_24-17,V_25-17,V_26-17,V_27-17,V_28-17,V_29-17,V_30-17
18,V_15-18,V_16-18,V_17-18,V_18-18,V_19-18,V_20-18,V_21-18,V_22-18,V_23-18,V_24-18,V_25-18,V_26-18,V_27-18,V_28-18,V_29-18,V_30-18
19,V_15-19,V_16-19,V_17-19,V_18-19,V_19-19,V_20-19,V_21-19,V_22-19,V_23-19,V_24-19,V_25-19,V_26-19,V_27-19,V_28-19,V_29-19,V_30-19
20,V_15-20,V_16-20,V_17-20,V_18-20,V_19-20,V_20-20,V_21-20,V_22-20,V_23-20,V_24-20,V_25-20,V_26-20,V_27-20,V_28-20,V_29-20,V_30-20
21,V_15-21,V_16-21,V_17-21,V_18-21,V_19-21,V_20-21,V_21-21,V_22-21,V_23-21,V_24-21,V_25-21,V_26-21,V_27-21,V_28-21,V_29-21,V_30-21
22,V_15-22,V_16-22,V_17-22,V_18-22,V_19-22,V_20-22,V_21-22,V_22-22,V_23-22,V_24-22,V_25-22,V_26-22,V_27-22,V_28-22,V_29-22,V_30-22
23,V_15-23,V_16-23,V_17-23,V_18-23,V_19-23,V_20-23,V_21-23,V_22-23,V_23-23,V_24-23,V_25-23,V_26-23,V_27-23,V_28-23,V_29-23,V_30-23
24,V_15-24,V_16-24,V_17-24,V_18-24,V_19-24,V_20-24,V_21-24,V_22-24,V_23-24,V_24-24,V_25-24,V_26-24,V_27-24,V_28-24,V_29-24,V_30-24
25,V_15-25,V_16-25,V_17-25,V_18-25,V_19-25,V_20-25,V_21-25,V_22-25,V_23-25,V_24-25,V_25-25,V_26-25,V_27-25,V_28-25,V_29-25,V_30-25
26,V_15-26,V_16-26,V_17-26,V_18-26,V_19-26,V_20-26,V_21-26,V_22-26,V_23-26,V_24-26,V_25-26,V_26-26,V_27-26,V_28-26,V_29-26,V_30-26
27,V_15-27,V_16-27,V_17-27,V_18-27,V_19-27,V_20-27,V_21-27,V_22-27,V_23-27,V_24-27,V_25-27,V_26-27,V_27-27,V_28-27,V_29-27,V_30-27
