ID,P19,P20
1,V_19-1,V_20-1
2,V_19-2,V_20-2
3,V_19-3,V_20-3
4,V_19-4,V_20-4
5,V_19-5,V_20-5
6,V_19-6,V_20-6
7,V_19-7,V_20-7
8,V_19-8,V_20-8
9,V_19-9,V_20-9
10,V_19-10,V_20-10
11,V_19-11,V_20-11
12,V_19-12,V_20-12
13,V_19-13,V_20-13
14,V_19-14,V_20-14
15,V_19-15,V_20-15
16,V_19-16,V_20-16
17,V_19-17,V_20-17
18,V_19-18,V_20-18
19,V_19-19,V_20-19
20,V_19-20,V_20-20
21,V_19-21,V_20-21
22,V_19-22,V_20-22
23,V_19-23,V_20-23
24,V_19-24,V_20-24
25,V_19-25,V_20-25
26,V_19-26,V_20-26
27,V_19-27,V_20-27
28,V_19-28,V_20-28
29,V_19-29,V_20-29
30,V_19-30,V_20-30
31,V_19-31,V_20-31
32,V_19-32,V_20-32
33,V_19-33,V_20-33
34,V_19-34,V_20-34
35,V_19-35,V_20-35
36,V_19-36,V_20-36
37,V_19-37,V_20-37
38,V_19-38,V_20-38
39,V_19-39,V_20-39
40,V_19-40,V_20-40
41,V_19-41,V_20-41
42,V_19-42,V_20-42
43,V_19-43,V_20-43
44,V_19-44,V_20-44
45,V_19-45,V_20-45
46,V_19-46,V_20-46
47,V_19-47,V_20-47
48,V_19-48,V_20-48
49,V_19-49,V_20-49
50,V_19-50,V_20-50
51,V_19-51,V_20-51
52,V_19-52,V_20-52
53,V_19-53,V_20-53
54,V_19-54,V_20-54
55,V_19-55,V_20-55
56,V_19-56,V_20-56
57,V_19-57,V_20-57
58,V_19-58,V_20-58
59,V_19-59,V_20-59
60,V_19-60,V_20-60
61,V_19-61,V_20-61
62,V_19-62,V_20-62
63,V_19-63,V_20-63
64,V_19-64,V_20-64
65,V_19-65,V_20-65
66,V_19-66,V_20-66
67,V_19-67,V_20-67
68,V_19-68,V_20-68
69,V_19-69,V_20-69
70,V_19-70,V_20-70
71,V_19-71,V_20-71
72,V_19-72,V_20-72
73,V_19-73,V_20-73
74,V_19-74,V_20-74
75,V_19-75,V_20-75
76,V_19-76,V_20-76
77,V_19-77,V_20-77
78,V_19-78,V_20-78
79,V_19-79,V_20-79
80,V_19-80,V_20-80
81,V_19-81,V_20-81
82,V_19-82,V_20-82
83,V_19-83,V_20-83
84,V_19-84,V_20-84
85,V_19-85,V_20-85
86,V_19-86,V_20-86
87,V_19-87,V_20-87
88,V_19-88,V_20-88
89,V_19-89,V_20-89
90,V_19-90,V_20-90
91,V_19-91,V_20-91
92,V_19-92,V_20-92
93,V_19-93,V_20-93
94,V_19-94,V_20-94
95,V_19-95,V_20-95
96,V_19-96,V_20-96
97,V_19-97,V_20-97
98,V_19-98,V_20-98
99,V_19-99,V_20-99
100,V_19-100,V_20-100
101,V_19-101,V_20-101
102,V_19-102,V_20-102
103,V_19-103,V_20-103
104,V_19-104,V_20-104
105,V_19-105,V_20-105
106,V_19-106,V_20-106
107,V_19-107,V_20-107
108,V_19-108,V_20-108
109,V_19-109,V_20-109
110,V_19-110,V_20-110
111,V_19-111,V_20-111
112,V_19-112,V_20-112
113,V_19-113,V_20-113
114,V_19-114,V_20-114
115,V_19-115,V_20-115
116,V_19-116,V_20-116
117,V_19-117,V_20-117
118,V_19-118,V_20-118
119,V_19-119,V_20-119
120,V_19-120,V_20-120
121,V_19-121,V_20-121
122,V_19-122,V_20-122
123,V_19-123,V_20-123
124,V_19-124,V_20-124
125,V_19-125,V_20-125
126,V_19-126,V_20-126
127,V_19-127,V_20-127
128,V_19-128,V_20-128
129,V_19-129,V_20-129
130,V_19-130,V_20-130
131,V_19-131,V_20-131
132,V_19-132,V_20-132
133,V_19-133,V_20-133
134,V_19-134,V_20-134
135,V_19-135,V_20-135
136,V_19-136,V_20-136
137,V_19-137,V_20-137
138,V_19-138,V_20-138
139,V_19-139,V_20-139
140,V_19-140,V_20-140
141,V_19-141,V_20-141
142,V_19-142,V_20-142
143,V_19-143,V_20-143
144,V_19-144,V_20-144
145,V_19-145,V_20-145
146,V_19-146,V_20-146
147,V_19-147,V_20-147
148,V_19-148,V_20-148
149,V_19-149,V_20-149
150,V_19-150,V_20-150
151,V_19-151,V_20-151
152,V_19-152,V_20-152
153,V_19-153,V_20-153
154,V_19-154,V_20-154
155,V_19-155,V_20-155
156,V_19-156,V_20-156
157,V_19-157,V_20-157
158,V_19-158,V_20-158
159,V_19-159,V_20-159
160,V_19-160,V_20-160
161,V_19-161,V_20-161
162,V_19-162,V_20-162
163,V_19-163,V_20-163
164,V_19-164,V_20-164
165,V_19-165,V_20-165
166,V_19-166,V_20-166
167,V_19-167,V_20-167
168,V_19-168,V_20-168
169,V_19-169,V_20-169
170,V_19-170,V_20-170
171,V_19-171,V_20-171
172,V_19-172,V_20-172
173,V_19-173,V_20-173
174,V_19-174,V_20-174
175,V_19-175,V_20-175
176,V_19-176,V_20-176
177,V_19-177,V_20-177
178,V_19-178,V_20-178
179,V_19-179,V_20-179
180,V_19-180,V_20-180
181,V_19-181,V_20-181
182,V_19-182,V_20-182
183,V_19-183,V_20-183
184,V_19-184,V_20-184
185,V_19-185,V_20-185
186,V_19-186,V_20-186
187,V_19-187,V_20-187
188,V_19-188,V_20-188
189,V_19-189,V_20-189
190,V_19-190,V_20-190
191,V_19-191,V_20-191
192,V_19-192,V_20-192
193,V_19-193,V_20-193
194,V_19-194,V_20-194
195,V_19-195,V_20-195
196,V_19-196,V_20-196
197,V_19-197,V_20-197
198,V_19-198,V_20-198
199,V_19-199,V_20-199
200,V_19-200,V_20-200
201,V_19-201,V_20-201
202,V_19-202,V_20-202
203,V_19-203,V_20-203
204,V_19-204,V_20-204
205,V_19-205,V_20-205
206,V_19-206,V_20-206
207,V_19-207,V_20-207
208,V_19-208,V_20-208
209,V_19-209,V_20-209
210,V_19-210,V_20-210
211,V_19-211,V_20-211
212,V_19-212,V_20-212
213,V_19-213,V_20-213
214,V_19-214,V_20-214
215,V_19-215,V_20-215
216,V_19-216,V_20-216
217,V_19-217,V_20-217
218,V_19-218,V_20-218
219,V_19-219,V_20-219
220,V_19-220,V_20-220
221,V_19-221,V_20-221
222,V_19-222,V_20-222
223,V_19-223,V_20-223
224,V_19-224,V_20-224
225,V_19-225,V_20-225
226,V_19-226,V_20-226
227,V_19-227,V_20-227
228,V_19-228,V_20-228
229,V_19-229,V_20-229
230,V_19-230,V_20-230
231,V_19-231,V_20-231
232,V_19-232,V_20-232
233,V_19-233,V_20-233
234,V_19-234,V_20-234
235,V_19-235,V_20-235
236,V_19-236,V_20-236
237,V_19-237,V_20-237
238,V_19-238,V_20-238
239,V_19-239,V_20-239
240,V_19-240,V_20-240
241,V_19-241,V_20-241
242,V_19-242,V_20-242
243,V_19-243,V_20-243
244,V_19-244,V_20-244
245,V_19-245,V_20-245
246,V_19-246,V_20-246
247,V_19-247,V_20-247
248,V_19-248,V_20-248
249,V_19-249,V_20-249
250,V_19-250,V_20-250
251,V_19-251,V_20-251
252,V_19-252,V_20-252
253,V_19-253,V_20-253
254,V_19-254,V_20-254
255,V_19-255,V_20-255
256,V_19-256,V_20-256
257,V_19-257,V_20-257
258,V_19-258,V_20-258
259,V_19-259,V_20-259
260,V_19-260,V_20-260
261,V_19-261,V_20-261
262,V_19-262,V_20-262
263,V_19-263,V_20-263
264,V_19-264,V_20-264
265,V_19-265,V_20-265
266,V_19-266,V_20-266
267,V_19-267,V_20-267
268,V_19-268,V_20-268
269,V_19-269,V_20-269
270,V_19-270,V_20-270
271,V_19-271,V_20-271
272,V_19-272,V_20-272
273,V_19-273,V_20-273
274,V_19-274,V_20-274
275,V_19-275,V_20-275
276,V_19-276,V_20-276
277,V_19-277,V_20-277
278,V_19-278,V_20-278
279,V_19-279,V_20-279
280,V_19-280,V_20-280
281,V_19-281,V_20-281
282,V_19-282,V_20-282
283,V_19-283,V_20-283
284,V_19-284,V_20-284
285,V_19-285,V_20-285
286,V_19-286,V_20-286
287,V_19-287,V_20-287
288,V_19-288,V_20-288
289,V_19-289,V_20-289
290,V_19-290,V_20-290
291,V_19-291,V_20-291
292,V_19-292,V_20-292
293,V_19-293,V_20-293
294,V_19-294,V_20-294
295,V_19-295,V_20-295
296,V_19-296,V_20-296
297,V_19-297,V_20-297
298,V_19-298,V_20-298
299,V_19-299,V_20-299
300,V_19-300,V_20-300
301,V_19-301,V_20-301
302,V_19-302,V_20-302
303,V_19-303,V_20-303
304,V_19-304,V_20-304
305,V_19-305,V_20-305
306,V_19-306,V_20-306
307,V_19-307,V_20-307
308,V_19-308,V_20-308
309,V_19-309,V_20-309
310,V_19-310,V_20-310
311,V_19-311,V_20-311
312,V_19-312,V_20-312
313,V_19-313,V_20-313
314,V_19-314,V_20-314
315,V_19-315,V_20-315
316,V_19-316,V_20-316
317,V_19-317,V_20-317
318,V_19-318,V_20-318
319,V_19-319,V_20-319
320,V_19-320,V_20-320
321,V_19-321,V_20-321
322,V_19-322,V_20-322
323,V_19-323,V_20-323
324,V_19-324,V_20-324
325,V_19-325,V_20-325
326,V_19-326,V_20-326
327,V_19-327,V_20-327
328,V_19-328,V_20-328
329,V_19-329,V_20-329
330,V_19-330,V_20-330
331,V_19-331,V_20-331
332,V_19-332,V_20-332
333,V_19-333,V_20-333
334,V_19-334,V_20-334
335,V_19-335,V_20-335
336,V_19-336,V_20-336
337,V_19-337,V_20-337
338,V_19-338,V_20-338
339,V_19-339,V_20-339
340,V_19-340,V_20-340
341,V_19-341,V_20-341
342,V_19-342,V_20-342
343,V_19-343,V_20-343
344,V_19-344,V_20-344
345,V_19-345,V_20-345
346,V_19-346,V_20-346
347,V_19-347,V_20-347
348,V_19-348,V_20-348
349,V_19-349,V_20-349
350,V_19-350,V_20-350
351,V_19-351,V_20-351
352,V_19-352,V_20-352
353,V_19-353,V_20-353
354,V_19-354,V_20-354
355,V_19-355,V_20-355
356,V_19-356,V_20-356
357,V_19-357,V_20-357
358,V_19-358,V_20-358
359,V_19-359,V_20-359
360,V_19-360,V_20-360
361,V_19-361,V_20-361
362,V_19-362,V_20-362
363,V_19-363,V_20-363
364,V_19-364,V_20-364
365,V_19-365,V_20-365
366,V_19-366,V_20-366
367,V_19-367,V_20-367
368,V_19-368,V_20-368
369,V_19-369,V_20-369
370,V_19-370,V_20-370
371,V_19-371,V_20-371
372,V_19-372,V_20-372
373,V_19-373,V_20-373
374,V_19-374,V_20-374
375,V_19-375,V_20-375
376,V_19-376,V_20-376
377,V_19-377,V_20-377
378,V_19-378,V_20-378
379,V_19-379,V_20-379
380,V_19-380,V_20-380
381,V_19-381,V_20-381
382,V_19-382,V_20-382
383,V_19-383,V_20-383
384,V_19-384,V_20-384
385,V_19-385,V_20-385
386,V_19-386,V_20-386
387,V_19-387,V_20-387
388,V_19-388,V_20-388
389,V_19-389,V_20-389
390,V_19-390,V_20-390
391,V_19-391,V_20-391
392,V_19-392,V_20-392
393,V_19-393,V_20-393
394,V_19-394,V_20-394
395,V_19-395,V_20-395
396,V_19-396,V_20-396
397,V_19-397,V_20-397
398,V_19-398,V_20-398
399,V_19-399,V_20-399
400,V_19-400,V_20-400
401,V_19-401,V_20-401
402,V_19-402,V_20-402
403,V_19-403,V_20-403
404,V_19-404,V_20-404
405,V_19-405,V_20-405
406,V_19-406,V_20-406
407,V_19-407,V_20-407
408,V_19-408,V_20-408
409,V_19-409,V_20-409
410,V_19-410,V_20-410
411,V_19-411,V_20-411
412,V_19-412,V_20-412
413,V_19-413,V_20-413
414,V_19-414,V_20-414
415,V_19-415,V_20-415
416,V_19-416,V_20-416
417,V_19-417,V_20-417
418,V_19-418,V_20-418
419,V_19-419,V_20-419
420,V_19-420,V_20-420
421,V_19-421,V_20-421
422,V_19-422,V_20-422
423,V_19-423,V_20-423
424,V_19-424,V_20-424
425,V_19-425,V_20-425
426,V_19-426,V_20-426
427,V_19-427,V_20-427
428,V_19-428,V_20-428
429,V_19-429,V_20-429
430,V_19-430,V_20-430
431,V_19-431,V_20-431
432,V_19-432,V_20-432
433,V_19-433,V_20-433
434,V_19-434,V_20-434
435,V_19-435,V_20-435
436,V_19-436,V_20-436
437,V_19-437,V_20-437
438,V_19-438,V_20-438
439,V_19-439,V_20-439
440,V_19-440,V_20-440
441,V_19-441,V_20-441
442,V_19-442,V_20-442
443,V_19-443,V_20-443
444,V_19-444,V_20-444
445,V_19-445,V_20-445
446,V_19-446,V_20-446
447,V_19-447,V_20-447
448,V_19-448,V_20-448
449,V_19-449,V_20-449
450,V_19-450,V_20-450
451,V_19-451,V_20-451
452,V_19-452,V_20-452
453,V_19-453,V_20-453
454,V_19-454,V_20-454
455,V_19-455,V_20-455
456,V_19-456,V_20-456
457,V_19-457,V_20-457
458,V_19-458,V_20-458
459,V_19-459,V_20-459
460,V_19-460,V_20-460
461,V_19-461,V_20-461
462,V_19-462,V_20-462
463,V_19-463,V_20-463
464,V_19-464,V_20-464
465,V_19-465,V_20-465
466,V_19-466,V_20-466
467,V_19-467,V_20-467
468,V_19-468,V_20-468
469,V_19-469,V_20-469
470,V_19-470,V_20-470
471,V_19-471,V_20-471
472,V_19-472,V_20-472
473,V_19-473,V_20-473
474,V_19-474,V_20-474
475,V_19-475,V_20-475
476,V_19-476,V_20-476
477,V_19-477,V_20-477
478,V_19-478,V_20-478
479,V_19-479,V_20-479
480,V_19-480,V_20-480
481,V_19-481,V_20-481
482,V_19-482,V_20-482
483,V_19-483,V_20-483
484,V_19-484,V_20-484
485,V_19-485,V_20-485
486,V_19-486,V_20-486
487,V_19-487,V_20-487
488,V_19-488,V_20-488
489,V_19-489,V_20-489
490,V_19-490,V_20-490
491,V_19-491,V_20-491
492,V_19-492,V_20-492
493,V_19-493,V_20-493
494,V_19-494,V_20-494
495,V_19-495,V_20-495
496,V_19-496,V_20-496
497,V_19-497,V_20-497
498,V_19-498,V_20-498
499,V_19-499,V_20-499
500,V_19-500,V_20-500
501,V_19-501,V_20-501
502,V_19-502,V_20-502
503,V_19-503,V_20-503
504,V_19-504,V_20-504
