tool	size	%involved	duplicates	totaltime	time-first	n# of results
rdfizer	01k_rows	5	3	1.760229873	1.343193531	
rdfizer	01k_rows	5	5	1.792645911	1.362092257	
rdfizer	01k_rows	5	10	1.78685689	1.349853516	
rdfizer	01k_rows	5	20	1.879878572	1.421547651	
rdfizer	01k_rows	10	3	1.801822782	1.356969833	
rdfizer	01k_rows	10	5	1.806371941	1.381931543	
rdfizer	01k_rows	10	10	1.789289353	1.366586208	
rdfizer	01k_rows	10	20	1.908136079	1.4129529	
rdfizer	01k_rows	20	3	1.803109727	1.357946634	
rdfizer	01k_rows	20	5	1.797211772	1.351277351	
rdfizer	01k_rows	20	10	1.830705818	1.365914583	
rdfizer	01k_rows	20	20	1.819992619	1.385932446	
rdfizer	01k_rows	30	3	1.808111549	1.365712643	
rdfizer	01k_rows	30	5	1.775897729	1.339747906	
rdfizer	01k_rows	30	10	1.854627857	1.406428099	
rdfizer	01k_rows	30	20	1.850754077	1.400767565	
rdfizer	01k_rows	40	3	1.721212844	1.332834482	
rdfizer	01k_rows	40	5	1.807298296	1.342465878	
rdfizer	01k_rows	40	10	1.872088421	1.382708788	
rdfizer	01k_rows	40	20	1.799737596	1.354385614	
rdfizer	01k_rows	50	3	1.828206823	1.375689983	
rdfizer	01k_rows	50	5	1.830831225	1.37815547	
rdfizer	01k_rows	50	10	1.832030589	1.397913933	
rdfizer	01k_rows	50	20	1.789274815	1.343482494	
rdfizer	03k_rows	5	3	1.880918374	1.357414484	
rdfizer	03k_rows	5	5	1.889227652	1.341766596	
rdfizer	03k_rows	5	10	1.894718146	1.358072996	
rdfizer	03k_rows	5	20	1.882961597	1.393731117	
rdfizer	03k_rows	10	3	1.909968188	1.374674559	
rdfizer	03k_rows	10	5	1.877313554	1.362164974	
rdfizer	03k_rows	10	10	2.006308761	1.474063635	
rdfizer	03k_rows	10	20	1.902910328	1.404147625	
rdfizer	03k_rows	20	3	1.88021046	1.345364094	
rdfizer	03k_rows	20	5	1.943560396	1.390821934	
rdfizer	03k_rows	20	10	1.895904483	1.406373739	
rdfizer	03k_rows	20	20	1.886432882	1.343770742	
rdfizer	03k_rows	30	3	1.887123075	1.358361006	
rdfizer	03k_rows	30	5	1.947298889	1.464900732	
rdfizer	03k_rows	30	10	1.937609188	1.355737925	
rdfizer	03k_rows	30	20	1.929964432	1.391290665	
rdfizer	03k_rows	40	3	1.896142749	1.366444588	
rdfizer	03k_rows	40	5	1.906604282	1.415082216	
rdfizer	03k_rows	40	10	1.902810308	1.359440088	
rdfizer	03k_rows	40	20	1.896285397	1.347710133	
rdfizer	03k_rows	50	3	1.817945648	1.358829498	
rdfizer	03k_rows	50	5	1.928610944	1.373154402	
rdfizer	03k_rows	50	10	1.933916426	1.388226748	
rdfizer	03k_rows	50	20	1.890765948	1.349682331	
rdfizer	10k_rows	5	3	2.073942289	1.373145819	
rdfizer	10k_rows	5	5	2.139278572	1.350910425	
rdfizer	10k_rows	5	10	2.212751241	1.374658823	
rdfizer	10k_rows	5	20	2.151887297	1.38678813	
rdfizer	10k_rows	10	3	2.131022698	1.355020761	
rdfizer	10k_rows	10	5	2.188167326	1.383998871	
rdfizer	10k_rows	10	10	2.205695432	1.336166382	
rdfizer	10k_rows	10	20	2.186592218	1.374929905	
rdfizer	10k_rows	20	3	2.173525876	1.340116739	
rdfizer	10k_rows	20	5	2.114124958	1.461220503	
rdfizer	10k_rows	20	10	2.165528283	1.367590427	
rdfizer	10k_rows	20	20	2.161756302	1.357503891	
rdfizer	10k_rows	30	3	2.132936715	1.338128805	
rdfizer	10k_rows	30	5	2.188988715	1.36430645	
rdfizer	10k_rows	30	10	2.197685288	1.505362034	
rdfizer	10k_rows	30	20	2.130346731	1.33915925	
rdfizer	10k_rows	40	3	2.121782639	1.333646536	
rdfizer	10k_rows	40	5	2.153693347	1.353485346	
rdfizer	10k_rows	40	10	2.177253658	1.376196861	
rdfizer	10k_rows	40	20	2.237864594	1.402026653	
rdfizer	10k_rows	50	3	2.177471912	1.501979113	
rdfizer	10k_rows	50	5	2.183658627	1.37693429	
rdfizer	10k_rows	50	10	2.262795577	1.384564877	
rdfizer	10k_rows	50	20	2.197170803	1.360045671	
rdfizer	50k_rows	5	3	3.546560886	1.355797291	
rdfizer	50k_rows	5	5	3.572867907	1.352539301	
rdfizer	50k_rows	5	10	3.582734532	1.36405015	
rdfizer	50k_rows	5	20	3.571420115	1.807081699	
rdfizer	50k_rows	10	3	3.636398686	1.399097204	
rdfizer	50k_rows	10	5	3.694756261	1.356067419	
rdfizer	50k_rows	10	10	3.528093381	1.357885599	
rdfizer	50k_rows	10	20	3.609219428	1.340707541	
rdfizer	50k_rows	20	3	3.695534059	1.350725412	
rdfizer	50k_rows	20	5	3.673180709	1.810356379	
rdfizer	50k_rows	20	10	3.734837881	1.377140045	
rdfizer	50k_rows	20	20	3.71997476	1.362572908	
rdfizer	50k_rows	30	3	3.640470959	1.353446722	
rdfizer	50k_rows	30	5	3.613578271	1.399916172	
rdfizer	50k_rows	30	10	3.642394341	1.330929995	
rdfizer	50k_rows	30	20	3.633314195	1.381337881	
rdfizer	50k_rows	40	3	3.667790561	1.342033625	
rdfizer	50k_rows	40	5	3.758286447	1.368240595	
rdfizer	50k_rows	40	10	3.627825473	1.350720882	
rdfizer	50k_rows	40	20	3.654144267	1.391133308	
rdfizer	50k_rows	50	3	3.665848571	1.797336817	
